,State/UnionTerrirory,TrendLineCoeff
0,Andhra Pradesh,2635.462547579634
1,Himachal Pradesh,43.999977833604255
2,Odisha,729.2898173219809
3,Madhya Pradesh,450.15648884291414
4,Nagaland,38.8511976529218
5,Manipur,39.31620956652205
6,Delhi,1165.3943881259759
7,Mizoram,6.312501373415077
8,Gujarat,605.7501108319785
9,Maharashtra,4581.838098951673
10,Andaman and Nicobar Islands,18.786296010008854
11,Jammu and Kashmir,229.921889474743
12,Kerala,349.2316605964622
13,Meghalaya,17.432248835719605
14,Goa,126.25286120695839
15,West Bengal,1063.0609091744352
16,Ladakh,14.456450288584607
17,Uttarakhand,141.2798256864846
18,Haryana,441.9088690420688
19,Karnataka,1952.5554029520092
20,Puducherry,88.0604858259536
21,Assam,763.4357630551071
22,Rajasthan,479.78828018782775
23,Uttar Pradesh,1321.9728934729235
24,Jharkhand,312.2864333608891
25,Arunachal Pradesh,32.10999680336351
26,Chhattisgarh,258.0105034844255
27,Tamil Nadu,2592.0188606341626
28,Tripura,93.06713605979466
29,Dadar Nagar Haveli,0.04765291607396869
30,Daman & Diu,30.247749608317907
31,Sikkim,18.30172027554278
32,Bihar,872.7959648991226
33,Telangana,702.299629218485
34,Chandigarh,33.604003431348644
35,Punjab,340.0877555936926
