,State/UnionTerrirory,TrendLineCoeff
0,Andhra Pradesh,27.855345602265032
1,Himachal Pradesh,0.6105186936604107
2,Odisha,3.8575152632066647
3,Madhya Pradesh,11.01456036648441
4,Nagaland,0.13203520617313722
5,Manipur,0.2884604533202855
6,Delhi,30.56743264793225
7,Mizoram,0.0
8,Gujarat,20.449045316266048
9,Maharashtra,179.94506644877194
10,Andaman and Nicobar Islands,0.30454223079313736
11,Jammu and Kashmir,5.358579975710373
12,Kerala,1.9878063503561505
13,Meghalaya,0.20755786776544732
14,Goa,1.8891090055702096
15,West Bengal,24.613583902863084
16,Ladakh,0.22750126784032465
17,Uttarakhand,2.467576657899578
18,Haryana,5.784825580351531
19,Karnataka,41.116212705611204
20,Puducherry,2.1885059827126816
21,Assam,3.226442196241039
22,Rajasthan,7.1981731351468685
23,Uttar Pradesh,25.21961128623957
24,Jharkhand,3.6289738307374018
25,Arunachal Pradesh,0.07695947495697185
26,Chhattisgarh,3.397587440575411
27,Tamil Nadu,48.976752638315354
28,Tripura,1.3557608214058683
29,Dadar Nagar Haveli,0.0
30,Daman & Diu,0.02057399230878792
31,Sikkim,0.2238971754998413
32,Bihar,4.901938798469963
33,Telangana,5.627061979116775
34,Chandigarh,0.6022719774150699
35,Punjab,12.981351874250263
